ligand,stat,RMSD_all,RMSD_heme,RMSD_ax
HIS-HOH,count,447.0,447.0,447.0
HIS-HOH,mean,0.3929132924223089,0.2739632236085547,0.2055571758491173
HIS-HOH,std,0.1888004565278015,0.1115223507885062,0.0846813019698677
HIS-HOH,min,0.0,0.0,0.0
HIS-HOH,25%,0.3079751916040133,0.2063867386469968,0.1623508819372814
HIS-HOH,50%,0.3779090434736452,0.2675563876697836,0.2047825897271598
HIS-HOH,75%,0.4567717549388197,0.3279871295601287,0.2459936113514729
HIS-HOH,max,1.845023719268964,0.818156187902788,0.5295980647620259
CYS,count,288.0,288.0,288.0
CYS,mean,0.3950699502259052,0.3289162919827694,0.3093341300006824
CYS,std,0.1125118552363315,0.0914057748256118,0.0912998504997684
CYS,min,0.0,0.0,0.0
CYS,25%,0.3432656367606779,0.2931739662467789,0.2636231522561293
CYS,50%,0.4238273258306028,0.3318536127176994,0.318936120472063
CYS,75%,0.4607972091968257,0.3810186561305758,0.3807295073689135
CYS,max,0.6143759535685483,0.5655806468173075,0.503609025488401
CYS-HOH,count,197.0,197.0,197.0
CYS-HOH,mean,0.378513671259068,0.2899238823135321,0.3582661587773635
CYS-HOH,std,0.1355664662960756,0.1087176234040287,0.1351816615881554
CYS-HOH,min,0.0,0.0,0.0
CYS-HOH,25%,0.3252096784034327,0.2462974826555425,0.32385548858498
CYS-HOH,50%,0.4174115973539933,0.3040591920018268,0.3800731632262273
CYS-HOH,75%,0.45961697573678,0.3492408040630312,0.4352870606074769
CYS-HOH,max,0.6190412244009,0.5330884300522457,0.7466493111357774
HIS,count,192.0,192.0,192.0
HIS,mean,0.5856018472523122,0.3959093603665231,0.0572904961691422
HIS,std,0.388299684034288,0.1391434344896584,0.0496946348528353
HIS,min,0.0,0.0,0.0
HIS,25%,0.3925189703363907,0.3061975528069584,0.0345000185632897
HIS,50%,0.450516384091762,0.4002889816659523,0.0439574073572097
HIS,75%,0.572459816119794,0.4879983971328627,0.0645595713951326
HIS,max,1.6247341291059822,0.695665999238758,0.4587248531629389
HIS-HIS,count,140.0,140.0,140.0
HIS-HIS,mean,0.3323524093582373,0.2641314692065559,0.3074887719578811
HIS-HIS,std,0.2381867147277481,0.1878254849569657,0.2602014213266163
HIS-HIS,min,0.0,0.0,0.0
HIS-HIS,25%,1.0224461887720061e-07,1.1048039141853296e-07,1.406116067456218e-07
HIS-HIS,50%,0.4032062583217098,0.3205124803272314,0.3417735579723731
HIS-HIS,75%,0.4994493076343806,0.407373055434606,0.438572896823135
HIS-HIS,max,1.035130458248599,0.6202817760448167,1.555786446920426
HIS-MET,count,132.0,132.0,132.0
HIS-MET,mean,0.4589501468639811,0.4266825322375505,0.3678575050232431
HIS-MET,std,0.1733337201096316,0.1579468536443895,0.208863788444767
HIS-MET,min,0.0,0.0,0.0
HIS-MET,25%,0.4406370447921546,0.4110887183617161,0.2360467610642785
HIS-MET,50%,0.4968036008597177,0.4780173469505789,0.3579912537755501
HIS-MET,75%,0.5555805398010356,0.5165487412880072,0.5202420867491022
HIS-MET,max,0.7617257648262644,0.6004746973302104,0.9289229029119463
HIS-OXY,count,38.0,38.0,38.0
HIS-OXY,mean,0.3553382828198582,0.3210985303977363,0.1530949099161836
