file_name,HOMO-9,HOMO-8,HOMO-7,HOMO-6,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,LUMO+9,spatial_extent_R2_au,net_charge,dipole.X,dipole.Y,dipole.Z,dipole.Tot,traceless_quadrupole.XX,traceless_quadrupole.YY,traceless_quadrupole.ZZ,traceless_quadrupole.XY,traceless_quadrupole.XZ,traceless_quadrupole.YZ,octapole.XXX,octapole.YYY,octapole.ZZZ,octapole.XYY,octapole.XXY,octapole.XXZ,octapole.XZZ,octapole.YZZ,octapole.YYZ,octapole.XYZ,natural_population.atoms[0].valence,natural_population.atoms[1].valence,natural_population.atoms[2].valence,natural_population.atoms[3].valence,natural_population.atoms[4].valence,PDB-ID,function,axial1,axial2,pocket_volume,saddling,ruffling,doming,breathing,rotation,wavx,wavy,pro,nstr,mstr,transx,transy,solute,lft_orbitals.Fe.d_xy.occupancy,lft_orbitals.Fe.d_xy.energy,lft_orbitals.Fe.d_xz.occupancy,lft_orbitals.Fe.d_xz.energy,lft_orbitals.Fe.d_yz.occupancy,lft_orbitals.Fe.d_yz.energy,lft_orbitals.Fe.d_(x2-y2).occupancy,lft_orbitals.Fe.d_(x2-y2).energy,lft_orbitals.Fe.d_z2.occupancy,lft_orbitals.Fe.d_z2.energy,iron_natural_charge,charge,multiplicity,t_2g_energy_mean,e_g_energy_mean,lft_energy_delta,lft_occupancy_delta,homo_lumo_gap,homo1_lumo1_gap,homo2_lumo2_gap,overview_N-N_au,overview_E-N_au,overview_KE_au,total_energies[0]
1aa416.log,-0.37686,-0.37488,-0.34945,-0.342,-0.33763,-0.32764,-0.326,-0.32459,-0.2989,-0.29009,-0.17983,-0.17942,-0.12352,-0.09722,-0.09158,-0.07893,-0.07764,-0.06011,-0.05918,-0.05573,19776.9744,1.0,0.9673,-1.2619,3.2061,3.5787,9.0906,2.0996,-11.1902,-2.0467,2.6947,4.005,1.1781,-25.1147,117.822,6.713,-2.5069,-7.1087,10.1325,-12.566,-17.244,18.6578,6.7723,5.48169,5.46428,5.46879,5.46635,2,2,1,1,442.0,-0.412,0.377,-0.051,-0.131,0.015,-0.07,0.191,0.013,0.021,0.07,0.003,0.023,0,0.95935,-0.5272,0.9539,-0.5118,0.94574,-0.50568,0.95436,-0.50373,0.96932,-0.5403,1.15168,1,6,-0.5148933333333333,-0.522015,-0.007121666666666693,-0.9353100000000003,0.11026000000000002,0.11948,0.20106999999999997,5978.944303251,-18934.42806365,2974.536868823,-2983.83443773
1aej01.log,-0.23841,-0.229,-0.22827,-0.21433,-0.20948,-0.19221,-0.1892,-0.18008,-0.17638,-0.1737,-0.07873,-0.07743,-0.03941,-0.01098,0.01228,0.01392,0.02693,0.03225,0.04069,0.04184,19960.5762,-0.0,-0.5506,1.8014,2.667,3.2651,-4.8192,-7.942,12.7612,-0.0104,-0.8843,-6.7025,9.6597,45.0299,69.4622,-2.6857,65.9761,3.1207,-11.4168,13.0498,1.4333,14.766,7.76361,5.33072,5.34315,5.3436,5.32864,3,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.91233,-0.08262,1.85777,-0.18195,1.86421,-0.18238,1.66655,-0.15177,0.59071,-0.07921,0.20557,0,1,-0.14898333333333333,-0.11549,0.03349333333333333,-2.377049999999999,0.09497,0.09895000000000001,0.14067,5990.231687321,-18993.43469371,2973.562704036,-2983.92104912
1aej12.log,-0.39709,-0.37796,-0.37585,-0.34631,-0.337,-0.33269,-0.31828,-0.30949,-0.29962,-0.29262,-0.18971,-0.18802,-0.18032,-0.16792,-0.14287,-0.11088,-0.09041,-0.0884,-0.08362,-0.06294,19863.1516,1.0,-0.5828,0.9371,2.6886,2.9063,8.6197,2.7047,-11.3244,0.5644,-1.5995,-6.8312,-5.8646,20.0959,112.6955,-2.6153,15.3063,-9.5857,0.3523,8.6755,-19.6718,33.2271,7.45301,5.3462,5.3622,5.36427,5.34427,3,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.56285,-0.31514,0.95902,-0.41011,0.96242,-0.44713,0.86405,-0.37167,0.40474,-0.32152,0.50728,1,2,-0.3907933333333333,-0.346595,0.04419833333333334,-1.2154999999999996,0.10291,0.1116,0.12916999999999998,5990.231687321,-18955.8231241,2973.165463978,-2983.73519697
1aek01.log,-0.23841,-0.229,-0.22827,-0.21433,-0.20948,-0.19221,-0.1892,-0.18008,-0.17638,-0.1737,-0.07873,-0.07743,-0.03941,-0.01098,0.01228,0.01392,0.02693,0.03225,0.04069,0.04184,19960.5762,-0.0,-0.5506,1.8014,2.667,3.2651,-4.8192,-7.942,12.7612,-0.0104,-0.8843,-6.7025,9.6597,45.0299,69.4622,-2.6857,65.9761,3.1207,-11.4168,13.0498,1.4333,14.766,7.76361,5.33072,5.34315,5.3436,5.32864,4,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.91233,-0.08262,1.85777,-0.18195,1.86421,-0.18238,1.66655,-0.15177,0.59071,-0.07921,0.20557,0,1,-0.14898333333333333,-0.11549,0.03349333333333333,-2.377049999999999,0.09497,0.09895000000000001,0.14067,5990.231687321,-18993.43469371,2973.562704036,-2983.92104912
1aek12.log,-0.39709,-0.37796,-0.37585,-0.34631,-0.337,-0.33269,-0.31828,-0.30949,-0.29962,-0.29262,-0.18971,-0.18802,-0.18032,-0.16792,-0.14287,-0.11088,-0.09041,-0.0884,-0.08362,-0.06294,19863.1516,1.0,-0.5828,0.9371,2.6886,2.9063,8.6197,2.7047,-11.3244,0.5644,-1.5995,-6.8312,-5.8646,20.0959,112.6955,-2.6153,15.3063,-9.5857,0.3523,8.6755,-19.6718,33.2271,7.45301,5.3462,5.3622,5.36427,5.34427,4,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.56285,-0.31514,0.95902,-0.41011,0.96242,-0.44713,0.86405,-0.37167,0.40474,-0.32152,0.50728,1,2,-0.3907933333333333,-0.346595,0.04419833333333334,-1.2154999999999996,0.10291,0.1116,0.12916999999999998,5990.231687321,-18955.8231241,2973.165463978,-2983.73519697
1aem01.log,-0.24172,-0.23686,-0.23184,-0.22445,-0.21753,-0.19014,-0.18185,-0.1778,-0.17622,-0.1746,-0.06328,-0.06278,-0.01877,0.00638,0.01149,0.01762,0.02366,0.03158,0.03724,0.04722,19876.6005,-0.0,-0.8013,0.9346,3.1168,3.3511,-3.4999,-10.0568,13.5567,-1.6457,-1.8981,-5.4351,-23.4923,41.7915,77.6448,8.6366,29.3449,5.8213,-16.649,4.0703,-2.9821,8.1412,7.73528,5.33864,5.33108,5.34444,5.3228,5,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.69702,-0.06854,1.85983,-0.18389,1.84093,-0.18144,1.93914,-0.17465,0.55426,-0.08034,0.23615,0,1,-0.14462333333333333,-0.127495,0.01712833333333333,-1.9043799999999997,0.11132,0.11343999999999999,0.15903,5978.730537172,-18971.82801289,2973.863793997,-2984.02339316
1aem12.log,-0.39383,-0.37624,-0.37324,-0.35159,-0.3404,-0.33451,-0.32481,-0.32127,-0.29941,-0.28926,-0.19319,-0.17834,-0.17754,-0.1474,-0.12236,-0.10053,-0.09084,-0.07851,-0.07611,-0.06266,19782.9055,1.0,-0.7587,0.8254,3.4235,3.6024,8.2589,0.6832,-8.9421,0.3924,-2.0432,-6.277,-8.136,32.9726,122.4292,-6.9093,7.1929,-12.6687,-6.1396,-0.7236,-12.1406,18.0698,7.42468,5.36503,5.35154,5.37127,5.34513,5,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.46295,-0.29866,0.93278,-0.41458,0.92585,-0.4159,0.96448,-0.3799,0.45113,-0.33556,0.53931,1,2,-0.37638,-0.35773,0.01865,-0.9059699999999999,0.09607000000000002,0.12107000000000001,0.14373,5978.730537172,-18934.13865039,2973.482373965,-2983.8332522
1aen01.log,-0.24383,-0.23662,-0.23211,-0.22469,-0.21829,-0.19094,-0.18216,-0.178,-0.1765,-0.17571,-0.0637,-0.06274,-0.01835,0.00747,0.01212,0.01621,0.02409,0.0306,0.03672,0.04721,19928.3269,-0.0,0.8986,-1.9741,3.4266,4.0553,-4.5488,-8.9699,13.5187,-2.4705,0.336,-1.3457,4.7502,-33.6939,86.8083,-2.2227,-35.9392,9.1613,17.9675,-23.6007,-8.9137,3.9964,7.73268,5.3563,5.32913,5.3281,5.33004,6,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.6972,-0.06894,1.84632,-0.18326,1.85773,-0.18352,1.93683,-0.17449,0.5503,-0.0805,0.23884,0,1,-0.14524,-0.127495,0.01774500000000001,-1.91412,0.11201,0.11375999999999999,0.15965,5973.951921558,-18962.20045865,2973.874252453,-2984.02363854
1aen05.log,-0.26165,-0.23631,-0.2313,-0.22356,-0.2153,-0.21228,-0.20347,-0.17964,-0.17603,-0.16054,-0.06676,-0.06424,-0.01835,0.00679,0.01693,0.0237,0.02469,0.03379,0.04705,0.04838,19930.8124,-0.0,0.8433,-1.9641,3.3384,3.964,-3.7439,-8.7913,12.5352,-2.1206,0.5392,-1.3075,3.3054,-33.0104,86.4618,-3.3616,-35.4005,8.8619,17.8866,-23.0136,-8.4696,3.8293,7.07063,5.45638,5.44614,5.42992,5.44892,6,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.96121,-0.30524,0.96099,-0.29169,0.95123,-0.26081,0.96372,-0.28481,0.97532,-0.3158,0.88052,0,5,-0.2859133333333333,-0.30030500000000004,-0.014391666666666747,-0.93439,0.09377999999999999,0.11178999999999999,0.16129,5973.951921558,-18962.3228527,2974.907582833,-2984.0105033
1aen12.log,-0.39266,-0.37633,-0.37298,-0.35366,-0.34151,-0.33612,-0.3255,-0.31968,-0.30009,-0.28952,-0.19664,-0.17815,-0.17766,-0.14728,-0.12179,-0.10288,-0.0895,-0.07725,-0.07415,-0.06401,19834.6794,1.0,0.9325,-1.8109,3.8598,4.3643,7.5395,0.9252,-8.4648,-0.2833,0.5482,-0.6656,2.7872,-18.3002,134.4727,7.5616,-5.1892,-3.7306,7.6407,-26.7651,-21.7286,17.1327,7.43178,5.38049,5.34962,5.35419,5.346,6,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.46813,-0.30007,0.93849,-0.42292,0.96316,-0.41876,0.96132,-0.37709,0.41311,-0.32767,0.53241,1,2,-0.38058333333333333,-0.35238,0.028203333333333303,-0.9953500000000002,0.09287999999999999,0.12194000000000002,0.14202,5973.951921558,-18924.51222558,2973.481174781,-2983.83277753
