,# PDB
179,1h5h
180,1h5i
181,1h5j
182,1h5k
183,1h5l
184,1h5m
185,1h5z
186,1h6n
187,1h7k
188,1hbz
189,1hch
190,1hcz
191,1hlb
192,1hrc
193,1hrm
194,1hsr
195,1hsy
196,1hzu
197,1hzv
198,1io3
199,1irv
200,1irw
201,1iwi
202,1iwj
203,1iwk
204,1iyn
205,1j52
206,1j77
207,1jci
208,1jdl
209,1jdr
210,1jf3
211,1jf4
212,1jfb
213,1jio
214,1jp6
215,1jp8
216,1jp9
217,1jpb
218,1kb0
219,1kbi
220,1kfr
221,1kr7
222,1krj
223,1kv9
224,1kxm
225,1kxn
226,1kzm
227,1l9b
228,1lco
229,1ldc
230,1lfk
231,1lg9
232,1lgf
233,1lh2
234,1lhs
235,1llp
236,1lqx
237,1lr6
238,1ls9
239,1lsw
240,1ltd
241,1ltw
242,1lue
243,1lwl
244,1m20
245,1m2i
246,1m2m
247,1m59
248,1m7v
249,1m7z
250,1m85
251,1mba
252,1mbd
253,1mbo
254,1mbs
255,1mgn
256,1mj4
257,1mk8
258,1mkq
259,1mkr
260,1mlg
261,1mlh
262,1mlk
263,1mll
264,1mln
265,1mlo
266,1mlr
267,1mls
268,1mn1
269,1mn2
270,1mnh
271,1mnp
272,1moa
273,1mob
274,1mod
275,1mqf
276,1mti
277,1mtj
278,1mtk
279,1myt
280,1mz4
281,1n40
282,1n4g
283,1n5u
284,1n6b
285,1nek
286,1nen
287,1nr6
288,1ntf
289,1nz2
290,1nz3
291,1nz4
292,1nz5
293,1o16
294,1oaf
295,1oag
296,1obm
297,1ofj
298,1ofk
299,1oxa
300,1p3t
301,1p7r
302,1pa2
303,1phc
304,1pkf
305,1po5
306,1q1f
307,1q5d
308,1q5e
309,1qhu
310,1qmq
311,1qo4
312,1qw6
313,1qwc
314,1r9o
315,1rap
316,1raq
317,1re9
318,1rf9
319,1rom
320,1rse
321,1rtx
322,1ryc
323,1sk7
324,1sog
325,1stq
326,1t93
327,1tqn
328,1u13
329,1u75
330,1u7s
331,1u9u
332,1ub2
333,1ubb
334,1ue8
335,1ulw
336,1uvy
337,1v07
338,1v5h
339,1vag
340,1vgi
341,1vxa
342,1vxb
343,1vxd
344,1vxe
345,1vxg
346,1vxh
347,1w0e
348,1w0f
349,1w2l
350,1wla
351,1x3k
352,1x46
353,1x8q
354,1x8v
355,1xbn
356,1xch
357,1xj3
358,1xme
359,1xqd
360,1y01
361,1y28
362,1y5l
363,1ycc
364,1yea
365,1yeb
366,1yiq
367,1yma
368,1ymb
369,1yq3
370,1yq4
371,1yrc
372,1yrd
373,1ytc
374,1ywd
375,1yyd
376,1yyg
377,1yzp
378,1yzr
379,1z8o
380,1z8p
381,1z8q
382,1zby
383,1zbz
384,1zoy
385,1zvi
386,2a3f
387,2acp
388,2ah7
389,2aiu
390,2al0
391,2all
392,2amm
393,2an0
394,2an2
395,2anz
396,2aqd
397,2as1
398,2as2
399,2as3
400,2as4
401,2as6
402,2b0z
403,2b4z
404,2bcn
405,2bgv
406,2bh4
407,2bh5
408,2bk9
409,2blf
410,2blh
411,2bli
412,2boq
413,2bpb
414,2bwh
415,2c2c
416,2c7x
417,2c8s
418,2c9x
419,2ca3
420,2ca4
421,2cag
422,2cah
423,2ccp
424,2ce0
425,2ce1
426,2cep
427,2civ
428,2ciw
