file_name,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,spatial_extent_R2_au,net_charge,dipole.X,dipole.Y,dipole.Z,dipole.Tot,traceless_quadrupole.XX,traceless_quadrupole.YY,traceless_quadrupole.ZZ,traceless_quadrupole.XY,traceless_quadrupole.XZ,traceless_quadrupole.YZ,octapole.XXX,octapole.YYY,octapole.ZZZ,octapole.XYY,octapole.XXY,octapole.XXZ,octapole.XZZ,octapole.YZZ,octapole.YYZ,octapole.XYZ,natural_population.atoms[0].valence,natural_population.atoms[1].valence,natural_population.atoms[2].valence,natural_population.atoms[3].valence,natural_population.atoms[4].valence,PDB-ID,function,axial1,axial2,pocket_volume,saddling,ruffling,doming,breathing,rotation,wavx,wavy,pro,nstr,mstr,transx,transy,solute,lft_orbitals.Fe.d_xy.occupancy,lft_orbitals.Fe.d_xy.energy,lft_orbitals.Fe.d_xz.occupancy,lft_orbitals.Fe.d_xz.energy,lft_orbitals.Fe.d_yz.occupancy,lft_orbitals.Fe.d_yz.energy,lft_orbitals.Fe.d_(x2-y2).occupancy,lft_orbitals.Fe.d_(x2-y2).energy,lft_orbitals.Fe.d_z2.occupancy,lft_orbitals.Fe.d_z2.energy,iron_natural_charge,charge,multiplicity,t_2g_energy_mean,e_g_energy_mean,lft_energy_delta,lft_occupancy_delta,homo_lumo_gap,homo1_lumo1_gap,homo2_lumo2_gap,orbital_distortion_type,dx2y2_dz2_diff,dz2_dxy_diff,dxy_dxz_dyz_diff,eg_t2g_diff,overview_N-N_au,overview_E-N_au,overview_KE_au,total_energies[0]
1aem01.log,-0.1778,-0.17622,-0.1746,-0.06328,-0.06278,-0.01877,19876.6005,-0.0,-0.8013,0.9346,3.1168,3.3511,-3.4999,-10.0568,13.5567,-1.6457,-1.8981,-5.4351,-23.4923,41.7915,77.6448,8.6366,29.3449,5.8213,-16.649,4.0703,-2.9821,8.1412,7.73528,5.33864,5.33108,5.34444,5.3228,5,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.69702,-0.06854,1.85983,-0.18389,1.84093,-0.18144,1.93914,-0.17465,0.55426,-0.08034,0.23615,0,1,-0.14462333333333333,-0.127495,0.01712833333333333,-1.9043799999999997,0.11132,0.11343999999999999,0.15903,2.0,-0.09431,-0.011799999999999991,0.11412499999999999,0.01712833333333333,5978.730537172,-18971.82801289,2973.863793997,-2984.02339316
1aem12.log,-0.32127,-0.29941,-0.28926,-0.19319,-0.17834,-0.17754,19782.9055,1.0,-0.7587,0.8254,3.4235,3.6024,8.2589,0.6832,-8.9421,0.3924,-2.0432,-6.277,-8.136,32.9726,122.4292,-6.9093,7.1929,-12.6687,-6.1396,-0.7236,-12.1406,18.0698,7.42468,5.36503,5.35154,5.37127,5.34513,5,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.46295,-0.29866,0.93278,-0.41458,0.92585,-0.4159,0.96448,-0.3799,0.45113,-0.33556,0.53931,1,2,-0.37638,-0.35773,0.01865,-0.9059699999999999,0.09607000000000002,0.12107000000000001,0.14373,2.0,-0.04433999999999999,-0.036900000000000044,0.11658000000000002,0.01865,5978.730537172,-18934.13865039,2973.482373965,-2983.8332522
1aen01.log,-0.178,-0.1765,-0.17571,-0.0637,-0.06274,-0.01835,19928.3269,-0.0,0.8986,-1.9741,3.4266,4.0553,-4.5488,-8.9699,13.5187,-2.4705,0.336,-1.3457,4.7502,-33.6939,86.8083,-2.2227,-35.9392,9.1613,17.9675,-23.6007,-8.9137,3.9964,7.73268,5.3563,5.32913,5.3281,5.33004,6,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.6972,-0.06894,1.84632,-0.18326,1.85773,-0.18352,1.93683,-0.17449,0.5503,-0.0805,0.23884,0,1,-0.14524,-0.127495,0.01774500000000001,-1.91412,0.11201,0.11375999999999999,0.15965,2.0,-0.09399,-0.01156,0.11445,0.01774500000000001,5973.951921558,-18962.20045865,2973.874252453,-2984.02363854
1aen12.log,-0.31968,-0.30009,-0.28952,-0.19664,-0.17815,-0.17766,19834.6794,1.0,0.9325,-1.8109,3.8598,4.3643,7.5395,0.9252,-8.4648,-0.2833,0.5482,-0.6656,2.7872,-18.3002,134.4727,7.5616,-5.1892,-3.7306,7.6407,-26.7651,-21.7286,17.1327,7.43178,5.38049,5.34962,5.35419,5.346,6,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.46813,-0.30007,0.93849,-0.42292,0.96316,-0.41876,0.96132,-0.37709,0.41311,-0.32767,0.53241,1,2,-0.38058333333333333,-0.35238,0.028203333333333303,-0.9953500000000002,0.09287999999999999,0.12194000000000002,0.14202,2.0,-0.049419999999999964,-0.027600000000000013,0.12076999999999999,0.028203333333333303,5973.951921558,-18924.51222558,2973.481174781,-2983.83277753
1aeo01.log,-0.17799,-0.1765,-0.17574,-0.06368,-0.06276,-0.01835,19927.9002,-0.0,0.8693,-1.999,3.4236,4.0587,-4.5781,-8.9158,13.4939,-2.4987,0.2445,-1.462,3.2892,-33.5188,86.5743,-1.8148,-36.1091,9.0841,17.64,-24.1875,-8.9852,3.9157,7.73188,5.35614,5.32922,5.32804,5.33044,7,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.70882,-0.06994,1.84382,-0.18305,1.85747,-0.1835,1.92564,-0.17355,0.55243,-0.08066,0.23967,0,1,-0.14549666666666666,-0.127105,0.018391666666666667,-1.9320400000000006,0.11206,0.11374,0.15964,2.0,-0.09289000000000001,-0.010719999999999993,0.11333499999999999,0.018391666666666667,5974.060318953,-18962.41695372,2973.874795035,-2984.02358743
1aeo12.log,-0.3197,-0.3001,-0.28953,-0.1967,-0.17815,-0.17768,19834.2471,1.0,0.908,-1.8346,3.8586,4.368,7.5808,0.9274,-8.5082,-0.3097,0.4699,-0.7783,2.6393,-18.2048,134.1451,7.4319,-5.0075,-3.3641,7.2497,-27.4608,-22.092,17.1474,7.4307,5.38035,5.34965,5.35419,5.34647,7,2,1,1,464.0,-0.467,0.349,0.013,-0.068,0.025,0.038,0.086,-0.042,0.022,0.08,-0.031,-0.075,0,0.47313,-0.301,0.93749,-0.42338,0.96304,-0.418,0.95653,-0.37631,0.41397,-0.3278,0.53353,1,2,-0.3807933333333333,-0.352055,0.02873833333333331,-1.00316,0.09283,0.12194999999999998,0.14201999999999998,2.0,-0.04851,-0.02679999999999999,0.11969000000000002,0.02873833333333331,5974.060318953,-18924.72859649,2973.481968313,-2983.83267911
1aeq01.log,-0.17761,-0.17591,-0.17473,-0.06333,-0.06239,-0.01885,19834.0962,0.0,0.7178,-1.7562,3.3004,3.8068,-4.1722,-9.4414,13.6136,-3.3534,2.3727,3.6078,0.468,-38.6929,79.1529,-4.28,-35.7334,9.8642,15.3477,-17.2442,-8.6512,7.2165,7.72529,5.34019,5.33974,5.3399,5.31763,8,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.75247,-0.07563,1.87566,-0.18729,1.84234,-0.18279,1.87859,-0.17214,0.53939,-0.08054,0.24729,0,1,-0.14857,-0.12634,0.02223,-2.0524900000000006,0.1114,0.11352000000000001,0.15875999999999998,2.0,-0.09159999999999999,-0.004909999999999998,0.10941000000000001,0.02223,5985.143676091,-18984.67960714,2973.971774418,-2984.01493747
1aeq12.log,-0.32036,-0.29967,-0.28942,-0.19281,-0.17857,-0.17714,19740.3996,1.0,0.639,-1.7916,3.6211,4.0903,8.3569,0.4699,-8.8268,-1.2248,2.6602,4.485,-1.9072,-30.5477,125.1473,2.7961,-9.1106,-3.147,6.6384,-15.5521,-23.5112,21.6663,7.40955,5.37211,5.35825,5.36458,5.34214,8,2,1,1,447.0,-0.461,0.376,-0.005,-0.11,0.017,-0.08,0.2,0.008,0.014,0.029,-0.008,0.027,0,0.49405,-0.3064,0.94884,-0.43027,0.91231,-0.40096,0.92629,-0.37466,0.45025,-0.336,0.55537,1,2,-0.37921,-0.35533000000000003,0.023879999999999957,-0.9786600000000001,0.09661,0.12109999999999999,0.14322,2.0,-0.03865999999999997,-0.029600000000000015,0.10921499999999995,0.023879999999999957,5985.143676091,-18947.00565004,2973.602109652,-2983.82429663
1aet01.log,-0.18024,-0.17617,-0.17425,-0.07707,-0.07571,-0.0373,19953.8287,0.0,-0.7998,1.7547,2.9018,3.4842,-5.17,-7.4424,12.6124,0.4923,-0.4685,-5.4496,5.5671,41.8349,77.4852,-5.3199,63.6802,11.3831,-11.9139,7.8494,-4.7644,13.4882,7.77057,5.35841,5.34247,5.32061,5.32856,9,2,1,1,469.0,-0.472,0.384,0.034,-0.101,-0.01,0.075,0.131,-0.001,0.027,-0.071,-0.003,-0.004,0,0.89604,-0.08202,1.82466,-0.17969,1.86965,-0.18305,1.68948,-0.1543,0.6176,-0.08094,0.19863,0,1,-0.14825333333333332,-0.11762,0.030633333333333318,-2.28327,0.09717999999999999,0.10046,0.14294,2.0,-0.07336,0.0010799999999999976,0.09934999999999998,0.030633333333333318,5991.317149621,-18995.67696256,2973.586427887,-2983.93441421
1aet12.log,-0.31222,-0.30004,-0.29328,-0.18896,-0.18714,-0.17996,19857.3154,1.0,-0.8214,1.0554,2.9073,3.2001,7.9012,3.0896,-10.9908,0.8599,-0.9997,-5.8346,-6.3648,19.3927,121.575,-6.7126,17.8336,-0.0052,0.5904,4.2487,-25.2872,31.9958,7.45619,5.37384,5.36151,5.34322,5.3406,9,2,1,1,469.0,-0.472,0.384,0.034,-0.101,-0.01,0.075,0.131,-0.001,0.027,-0.071,-0.003,-0.004,0,0.55597,-0.31631,0.94922,-0.41252,0.96384,-0.44801,0.87526,-0.37523,0.41028,-0.32322,0.50362,1,2,-0.39227999999999996,-0.349225,0.043054999999999954,-1.18349,0.10432,0.11289999999999997,0.13226,2.0,-0.05201,-0.006910000000000027,0.11395500000000003,0.043054999999999954,5991.317149621,-18957.96137961,2973.188875589,-2983.74769298
