ligand,stat,RMSD_all,RMSD_heme,RMSD_ax
HIS-HOH,count,434.0,434.0,434.0
HIS-HOH,mean,0.4046825844157075,0.2821694949470575,0.2117144184436762
HIS-HOH,std,0.1787231852558599,0.1024193924131405,0.0779719731377655
HIS-HOH,min,1.0798235265203437e-07,8.429369702178808e-08,2.6656007498500224e-08
HIS-HOH,25%,0.3116076406073901,0.2118172458877848,0.1661899014126882
HIS-HOH,50%,0.3821472002151513,0.2714412350238179,0.2067310036006137
HIS-HOH,75%,0.4592069722125663,0.3314247099379001,0.2462378892590087
HIS-HOH,max,1.845023719268964,0.818156187902788,0.5295980647620259
CYS,count,281.0,281.0,281.0
CYS,mean,0.4049115501205642,0.3371099348989966,0.317039962325767
CYS,std,0.0947427099627313,0.0761043246683401,0.0780530095858298
CYS,min,8.118214900577056e-08,8.429369702178808e-08,2.6656007498500224e-08
CYS,25%,0.348717596602671,0.2961786440751102,0.2640605309779095
CYS,50%,0.4255607353581407,0.3334683798695812,0.3200302034079238
CYS,75%,0.4612744631095139,0.382271566872911,0.3811163931435881
CYS,max,0.6143759535685483,0.5655806468173075,0.503609025488401
HIS,count,189.0,189.0,189.0
HIS,mean,0.5948971146690155,0.4021936352971594,0.0581998689340336
HIS,std,0.3842180548800332,0.1308774486556008,0.0495556018088253
HIS,min,7.786718186642898e-08,8.429369702178808e-08,3.5942953178616e-08
HIS,25%,0.3970781889398482,0.311039552381787,0.0347177477130348
HIS,50%,0.4572434957136206,0.4043589240178794,0.0442244934083854
HIS,75%,0.5735073828477596,0.4902694882753607,0.0651054601027655
HIS,max,1.6247341291059822,0.695665999238758,0.4587248531629389
CYS-HOH,count,182.0,182.0,182.0
CYS-HOH,mean,0.4070825958445522,0.31189652296746,0.3877935892142514
CYS-HOH,std,0.0891286578070101,0.0761064075984797,0.0909653639621247
CYS-HOH,min,1.1239159602905076e-07,1.460009659995543e-07,7.300048299977713e-08
CYS-HOH,25%,0.3556926754357215,0.2638468585939567,0.3402774009901574
CYS-HOH,50%,0.4208998200400021,0.3099441892307546,0.3885635173609301
CYS-HOH,75%,0.4606835162660118,0.351260233172557,0.4371259656328273
CYS-HOH,max,0.6190412244009,0.5330884300522457,0.7466493111357774
HIS-MET,count,123.0,123.0,123.0
HIS-MET,mean,0.4925318614059378,0.4579031973053016,0.3947739048882588
HIS-MET,std,0.124841278508542,0.1112400864869186,0.1900769934768799
HIS-MET,min,1.0224461887720061e-07,8.429369702178808e-08,7.03058033728109e-08
HIS-MET,25%,0.4547934481083953,0.4367878235485325,0.2652133459774574
HIS-MET,50%,0.5004452301073721,0.4817509869627338,0.3616252558309429
HIS-MET,75%,0.5631100315665087,0.517336354408906,0.5447445746234225
HIS-MET,max,0.7617257648262644,0.6004746973302104,0.9289229029119463
HIS-HIS,count,107.0,107.0,107.0
HIS-HIS,mean,0.4348536164585819,0.3455925715392328,0.4023217499276412
HIS-HIS,std,0.1714687262054173,0.1335791007903473,0.2242083363260834
HIS-HIS,min,1.0224461887720061e-07,8.429369702178808e-08,7.03058033728109e-08
HIS-HIS,25%,0.3793292582929354,0.291098533598587,0.3161090183263749
HIS-HIS,50%,0.4411773401656378,0.360127636665024,0.3851557409333445
HIS-HIS,75%,0.5260051697819648,0.4329109955345337,0.5020920822538422
