XTB Optimization History - 20251201_171414
================================================================================
PDB ID          Optimization Level   Status
================================================================================
102m            existing             SKIPPED
155c            existing             SKIPPED
1a2f            existing             SKIPPED
1a2g            existing             SKIPPED
1a6k            existing             SKIPPED
1a6m            existing             SKIPPED
1aa4            existing             SKIPPED
1ac4            existing             SKIPPED
1ac8            existing             SKIPPED
1aeb            existing             SKIPPED
1aed            existing             SKIPPED
1aee            existing             SKIPPED
1aef            existing             SKIPPED
1aeg            existing             SKIPPED
1aeh            existing             SKIPPED
1aej            existing             SKIPPED
1aek            existing             SKIPPED
1aem            existing             SKIPPED
1aen            existing             SKIPPED
1aeo            existing             SKIPPED
1aeq            existing             SKIPPED
1aes            existing             SKIPPED
1aet            existing             SKIPPED
1aeu            existing             SKIPPED
1aev            existing             SKIPPED
1aom            vtight               SUCCESS
1arp            vtight               SUCCESS
1ash            vtight               SUCCESS
1b5m            vtight               SUCCESS
1b7v            vtight               SUCCESS
1bej            vtight               SUCCESS
1bek            vtight               SUCCESS
1bem            vtight               SUCCESS
1beq            vtight               SUCCESS
1bva            vtight               SUCCESS
1bz6            vtight               SUCCESS
1c52            vtight               SUCCESS
1c6r            vtight               SUCCESS
1c75            vtight               SUCCESS
1cc5            vtight               SUCCESS
1cca            vtight               SUCCESS
1ccb            vtight               SUCCESS
1ccc            vtight               SUCCESS
1cce            vtight               SUCCESS
1cci            vtight               SUCCESS
1ccj            vtight               SUCCESS
1cck            vtight               SUCCESS
1ccl            vtight               SUCCESS
1ccp            vtight               SUCCESS
1ccr            vtight               SUCCESS
1ch1            vtight               SUCCESS
1ch2            vtight               SUCCESS
1ch3            vtight               SUCCESS
1ch5            vtight               SUCCESS
1ch7            vtight               SUCCESS
1ch9            vtight               SUCCESS
1chh            vtight               SUCCESS
1chi            vtight               SUCCESS
1chj            vtight               SUCCESS
1cie            vtight               SUCCESS
1cif            vtight               SUCCESS
1cig            vtight               SUCCESS
1cih            vtight               SUCCESS
1cik            vtight               SUCCESS
1cio            vtight               SUCCESS
1ck6            vtight               SUCCESS
1cmp            vtight               SUCCESS
1cmq            vtight               SUCCESS
1cmt            vtight               SUCCESS
1cmu            vtight               SUCCESS
1co6            vtight               SUCCESS
1co8            vtight               SUCCESS
1co9            vtight               SUCCESS
1cot            vtight               SUCCESS
1cp0            vtight               SUCCESS
1cp5            vtight               SUCCESS
1cpd            vtight               SUCCESS
1cpe            vtight               SUCCESS
1cpf            vtight               SUCCESS
1cpg            vtight               SUCCESS
1cpt            vtight               SUCCESS
1cpw            vtight               SUCCESS
1crg            vtight               SUCCESS
1crh            vtight               SUCCESS
1cri            vtight               SUCCESS
1crj            vtight               SUCCESS
1cry            vtight               SUCCESS
1csu            vtight               SUCCESS
1csv            vtight               SUCCESS
1csw            vtight               SUCCESS
1csx            vtight               SUCCESS
1ctj            vtight               SUCCESS
1cty            vtight               SUCCESS
1ctz            vtight               SUCCESS
1cxc            vtight               SUCCESS
1cxy            vtight               SUCCESS
1cyf            vtight               SUCCESS
1cyi            vtight               SUCCESS
1cyj            vtight               SUCCESS
1cyo            vtight               SUCCESS
1dcc            vtight               SUCCESS
1dj1            vtight               SUCCESS
1dlw            vtight               SUCCESS
1dm1            vtight               SUCCESS
1dp6            vtight               SUCCESS
1dt1            vtight               SUCCESS
1dti            vtight               SUCCESS
1duk            vtight               SUCCESS
1dve            vtight               SUCCESS
1dy7            vtight               SUCCESS
1e29            vtight               SUCCESS
1e93            vtight               SUCCESS
1ebe            failed               FAILED
1eca            vtight               SUCCESS
1ehb            vtight               SUCCESS
1ehe            vtight               SUCCESS
1ehk            vtight               SUCCESS
1es1            vtight               SUCCESS
1f1f            vtight               SUCCESS
1f65            vtight               SUCCESS
1fcb            vtight               SUCCESS
1flp            vtight               SUCCESS
1gdv            vtight               SUCCESS
1gjm            vtight               SUCCESS
1gwe            vtight               SUCCESS
1gwf            failed               FAILED
1gwh            vtight               SUCCESS
1gwt            vtight               SUCCESS
1h55            failed               FAILED
1h57            vtight               SUCCESS
1h5z            vtight               SUCCESS
1h6n            vtight               SUCCESS
1hbz            vtight               SUCCESS
1hch            failed               FAILED
1hlb            vtight               SUCCESS
1hrc            vtight               SUCCESS
1hsr            vtight               SUCCESS
1hzu            vtight               SUCCESS
1io3            vtight               SUCCESS
1irv            vtight               SUCCESS
1irw            vtight               SUCCESS
1iyn            vtight               SUCCESS
1j52            vtight               SUCCESS
1j77            vtight               SUCCESS
1jci            vtight               SUCCESS
1jdl            vtight               SUCCESS
1jdr            vtight               SUCCESS
1jp6            vtight               SUCCESS
1jp8            vtight               SUCCESS
1jp9            vtight               SUCCESS
1jpb            vtight               SUCCESS
1kb0            vtight               SUCCESS
1kbi            vtight               SUCCESS
1kr7            vtight               SUCCESS
1krj            vtight               SUCCESS
1kv9            vtight               SUCCESS
1kxm            vtight               SUCCESS
1kxn            vtight               SUCCESS
1l9b            vtight               SUCCESS
1lco            vtight               SUCCESS
1ldc            vtight               SUCCESS
1lfk            vtight               SUCCESS
1lg9            vtight               SUCCESS
1lgf            vtight               SUCCESS
1lh2            vtight               SUCCESS
1lhs            vtight               SUCCESS
1llp            vtight               SUCCESS
1lqx            vtight               SUCCESS
1lr6            vtight               SUCCESS
1ls9            vtight               SUCCESS
1ltd            vtight               SUCCESS
1ltw            vtight               SUCCESS
1lue            vtight               SUCCESS
1m20            vtight               SUCCESS
1m2i            vtight               SUCCESS
1m2m            vtight               SUCCESS
1m59            vtight               SUCCESS
1mbo            vtight               SUCCESS
1mgn            vtight               SUCCESS
1mj4            vtight               SUCCESS
1mk8            vtight               SUCCESS
1mlh            vtight               SUCCESS
1mll            vtight               SUCCESS
1mlo            vtight               SUCCESS
1mls            vtight               SUCCESS
1mn1            vtight               SUCCESS
1mn2            vtight               SUCCESS
1mnp            vtight               SUCCESS
1mqf            failed               FAILED
1mti            vtight               SUCCESS
1mtk            vtight               SUCCESS
1myt            vtight               SUCCESS
1mz4            vtight               SUCCESS
1n4g            vtight               SUCCESS
1nek            vtight               SUCCESS
1nen            vtight               SUCCESS
1ntf            vtight               SUCCESS
1nz2            vtight               SUCCESS
1nz3            vtight               SUCCESS
1nz4            vtight               SUCCESS
1nz5            vtight               SUCCESS
1o16            vtight               SUCCESS
1oaf            vtight               SUCCESS
1oag            vtight               SUCCESS
1obm            vtight               SUCCESS
1ofj            vtight               SUCCESS
1ofk            vtight               SUCCESS
1pa2            vtight               SUCCESS
1phc            vtight               SUCCESS
1q5d            vtight               SUCCESS
1qhu            vtight               SUCCESS
1qmq            vtight               SUCCESS
1r9o            vtight               SUCCESS
1rap            vtight               SUCCESS
1raq            vtight               SUCCESS
1rf9            vtight               SUCCESS
1rse            vtight               SUCCESS
1rtx            vtight               SUCCESS
1ryc            vtight               SUCCESS
1sk7            vtight               SUCCESS
1stq            vtight               SUCCESS
1tqn            vtight               SUCCESS
1u13            vtight               SUCCESS
1u75            vtight               SUCCESS
1u7s            vtight               SUCCESS
1u9u            vtight               SUCCESS
1ue8            vtight               SUCCESS
1uvy            vtight               SUCCESS
1v07            vtight               SUCCESS
1v5h            vtight               SUCCESS
1vgi            vtight               SUCCESS
1vxb            vtight               SUCCESS
1vxd            vtight               SUCCESS
1vxe            vtight               SUCCESS
1vxg            vtight               SUCCESS
1vxh            vtight               SUCCESS
1w2l            vtight               SUCCESS
1wla            vtight               SUCCESS
1x3k            vtight               SUCCESS
1x46            vtight               SUCCESS
1xbn            vtight               SUCCESS
1xch            vtight               SUCCESS
1xme            vtight               SUCCESS
1y01            vtight               SUCCESS
1y5l            vtight               SUCCESS
1ycc            vtight               SUCCESS
1yea            vtight               SUCCESS
1yeb            vtight               SUCCESS
1yiq            vtight               SUCCESS
1yma            vtight               SUCCESS
1ymb            vtight               SUCCESS
1yq3            failed               FAILED
1ytc            vtight               SUCCESS
1ywd            vtight               SUCCESS
1yyd            vtight               SUCCESS
1yyg            vtight               SUCCESS
1yzp            vtight               SUCCESS
1yzr            vtight               SUCCESS
1z8o            vtight               SUCCESS
1z8p            vtight               SUCCESS
1z8q            vtight               SUCCESS
1zby            vtight               SUCCESS
1zbz            vtight               SUCCESS
1zoy            vtight               SUCCESS
2a3f            vtight               SUCCESS
2acp            vtight               SUCCESS
2ah7            vtight               SUCCESS
2aiu            vtight               SUCCESS
2al0            vtight               SUCCESS
2all            vtight               SUCCESS
2amm            vtight               SUCCESS
2anz            vtight               SUCCESS
2aqd            vtight               SUCCESS
2as1            vtight               SUCCESS
2as2            vtight               SUCCESS
2as3            vtight               SUCCESS
2as4            vtight               SUCCESS
2as6            vtight               SUCCESS
2b0z            vtight               SUCCESS
2b4z            vtight               SUCCESS
2bcn            vtight               SUCCESS
2bgv            vtight               SUCCESS
2bh4            vtight               SUCCESS
2bh5            vtight               SUCCESS
2bk9            vtight               SUCCESS
2blf            vtight               SUCCESS
2blh            vtight               SUCCESS
2boq            vtight               SUCCESS
2bpb            vtight               SUCCESS
2c2c            vtight               SUCCESS
2c8s            vtight               SUCCESS
2c9x            vtight               SUCCESS
2ca3            vtight               SUCCESS
2ca4            vtight               SUCCESS
2cag            vtight               SUCCESS
2ccp            vtight               SUCCESS
2ce0            vtight               SUCCESS
2ce1            vtight               SUCCESS
2cep            vtight               SUCCESS
2ggn            vtight               SUCCESS
2h89            failed               FAILED
2hz1            vtight               SUCCESS
2hz2            vtight               SUCCESS
2hz3            vtight               SUCCESS
2ivf            vtight               SUCCESS
2j18            vtight               SUCCESS
2jjn            vtight               SUCCESS
2jjo            vtight               SUCCESS
2lh2            failed               FAILED
2mbw            vtight               SUCCESS
2mgb            vtight               SUCCESS
2mgh            vtight               SUCCESS
2mgm            vtight               SUCCESS
2nrl            vtight               SUCCESS
2nrm            vtight               SUCCESS
2oh8            vtight               SUCCESS
2oh9            vtight               SUCCESS
2oha            vtight               SUCCESS
2ohb            vtight               SUCCESS
2oz0            vtight               SUCCESS
2pt3            vtight               SUCCESS
2pum            vtight               SUCCESS
2q8q            vtight               SUCCESS
2q9f            vtight               SUCCESS
2q9g            vtight               SUCCESS
2qpe            vtight               SUCCESS
2qqt            vtight               SUCCESS
2qrb            vtight               SUCCESS
2r5l            vtight               SUCCESS
2rbt            vtight               SUCCESS
2rbu            vtight               SUCCESS
2rbv            vtight               SUCCESS
2rbw            vtight               SUCCESS
2rbx            vtight               SUCCESS
2rby            vtight               SUCCESS
2rbz            vtight               SUCCESS
2rc0            vtight               SUCCESS
2rc2            vtight               SUCCESS
2spm            vtight               SUCCESS
2spn            vtight               SUCCESS
2spo            vtight               SUCCESS
2uuq            vtight               SUCCESS
2v07            vtight               SUCCESS
2v1h            vtight               SUCCESS
2v1i            vtight               SUCCESS
2v1j            vtight               SUCCESS
2v23            vtight               SUCCESS
2v2e            vtight               SUCCESS
2v7i            vtight               SUCCESS
2v7j            vtight               SUCCESS
2vcf            vtight               SUCCESS
2vcs            vtight               SUCCESS
2veb            vtight               SUCCESS
2vka            vtight               SUCCESS
2vlx            vtight               SUCCESS
2vly            vtight               SUCCESS
2vlz            vtight               SUCCESS
2vnx            vtight               SUCCESS
2vnz            vtight               SUCCESS
2vo2            vtight               SUCCESS
2vyw            vtight               SUCCESS
2vyy            vtight               SUCCESS
2vyz            vtight               SUCCESS
2w23            vtight               SUCCESS
2w6w            vtight               SUCCESS
